date,side,or_width,prior_adx,entry_et,exit,points,net,cum_net
2019-06-10,long,47.5,45.8,09:45,flat 15:55,-3.0,-7.24,-7.24
2019-06-11,short,47.0,42.7,10:13,flat 15:55,35.2,69.26,62.02
2019-06-13,long,29.0,37.1,09:45,stopped,-31.2,-63.74,-1.72
2019-06-17,long,35.8,30.3,09:48,flat 15:55,-1.5,-4.24,-5.96
2019-06-18,long,75.2,28.8,09:46,flat 15:55,-35.0,-71.24,-77.2
2019-06-19,short,46.5,28.5,14:00,stopped,-48.0,-97.24,-174.44
2019-06-20,short,27.8,28.2,10:19,flat 15:55,1.0,0.76,-173.68
2019-06-21,long,21.0,28.5,09:56,flat 15:55,3.0,4.76,-168.92
2019-06-24,short,15.0,28.9,09:48,flat 15:55,7.8,14.26,-154.66
2019-06-25,short,29.8,29.2,09:48,flat 15:55,104.5,207.76,53.1
2019-06-27,long,24.2,26.7,09:54,stopped,-25.8,-52.74,0.36
2019-06-28,short,28.8,25.6,09:48,flat 15:55,3.8,6.26,6.62
2019-07-02,long,19.8,24.4,10:28,stopped,-21.2,-43.74,-37.12
2019-07-04,long,4.5,25.4,10:54,flat 15:55,-1.2,-3.74,-40.86
2019-07-05,short,16.8,26.2,09:45,stopped,-18.2,-37.74,-78.6
2019-07-08,short,37.2,24.3,09:47,flat 15:55,-29.5,-60.24,-138.84
2019-07-09,long,33.8,22.8,09:45,flat 15:55,55.8,110.26,-28.58
2019-07-10,long,43.5,21.7,09:48,stopped,-45.0,-91.24,-119.82
2019-07-11,short,19.5,21.6,10:30,stopped,-21.0,-43.24,-163.06
2019-07-12,long,17.8,21.6,09:45,stopped,-19.2,-39.74,-202.8
2019-07-15,short,17.5,21.8,09:46,stopped,-19.0,-39.24,-242.04
2019-07-16,short,12.8,22.2,10:18,flat 15:55,21.2,41.26,-200.78
2019-07-18,long,38.0,20.9,10:21,stopped,-39.5,-80.24,-281.02
2019-08-06,long,38.8,23.0,10:03,stopped,-40.2,-81.74,-362.76
2019-08-07,short,45.8,26.0,09:45,stopped,-47.2,-95.74,-458.5
2019-08-08,short,33.8,28.9,09:51,stopped,-35.2,-71.74,-530.24
2019-08-12,short,47.8,30.6,11:13,stopped,-49.2,-99.74,-629.98
2019-08-13,long,75.8,31.8,09:45,flat 15:55,111.8,222.26,-407.72
2019-08-14,short,37.5,31.2,09:45,flat 15:55,71.2,141.26,-266.46
2019-08-15,short,74.8,30.9,11:20,flat 15:55,-52.0,-105.24,-371.7
2019-08-16,long,26.8,30.8,10:21,flat 15:55,34.0,66.76,-304.94
2019-08-19,long,28.0,29.6,11:42,flat 15:55,-9.0,-19.24,-324.18
2019-08-20,short,36.8,27.7,09:51,stopped,-38.2,-77.74,-401.92
2019-08-23,short,18.2,23.8,09:47,stopped,-19.8,-40.74,-442.66
2019-08-26,short,32.8,24.7,09:47,stopped,-34.2,-69.74,-512.4
2019-08-27,long,24.0,24.0,09:48,stopped,-25.5,-52.24,-564.64
2019-08-29,long,33.8,22.2,09:46,stopped,-35.2,-71.74,-636.38
2019-08-30,short,20.2,20.8,09:45,flat 15:55,50.8,100.26,-536.12
2019-11-12,long,20.0,20.3,09:51,stopped,-21.5,-44.24,-580.36
2019-11-13,long,26.5,20.5,10:19,flat 15:55,-2.0,-5.24,-585.6
2019-11-14,long,20.0,20.6,10:03,stopped,-21.5,-44.24,-629.84
2019-11-15,short,23.2,20.4,09:57,stopped,-24.8,-50.74,-680.58
2019-11-19,short,15.8,20.5,09:46,flat 15:55,3.0,4.76,-675.82
2019-11-20,long,15.5,20.4,09:48,stopped,-17.0,-35.24,-711.06
2019-12-26,long,16.8,20.8,09:45,flat 15:55,35.5,69.76,-641.3
2019-12-27,short,19.0,22.5,09:49,flat 15:55,27.2,53.26,-588.04
2019-12-30,short,66.8,26.0,09:45,flat 15:55,-2.5,-6.24,-594.28
2019-12-31,long,53.0,25.9,09:49,flat 15:55,4.5,7.76,-586.52
2020-01-02,long,36.8,25.8,14:19,flat 15:55,31.2,61.26,-525.26
2020-01-03,long,70.2,26.9,12:01,flat 15:55,-22.0,-45.24,-570.5
2020-01-06,long,47.0,27.7,09:45,flat 15:55,86.5,171.76,-398.74
2020-01-07,short,42.2,26.7,09:45,stopped,-43.8,-88.74,-487.48
2020-01-08,long,38.2,26.1,09:54,flat 15:55,44.0,86.76,-400.72
2020-01-10,short,37.2,26.8,12:06,flat 15:55,20.8,40.26,-360.46
2020-01-14,short,34.2,29.7,09:51,stopped,-35.8,-72.74,-433.2
2020-01-15,long,28.2,31.1,09:54,stopped,-29.8,-60.74,-493.94
2020-01-16,long,27.5,32.1,09:45,stopped,-29.0,-59.24,-553.18
2020-01-17,short,39.2,33.4,11:13,stopped,-40.8,-82.74,-635.92
2020-01-20,long,8.5,36.3,09:52,stopped,-10.0,-21.24,-657.16
2020-01-21,long,19.5,37.3,09:51,flat 15:55,-1.0,-3.24,-660.4
2020-01-22,long,29.5,37.8,09:59,stopped,-31.0,-63.24,-723.64
2020-01-24,short,22.2,38.9,09:47,target,101.0,200.76,-522.88
2020-01-30,long,70.5,32.1,14:42,flat 15:55,20.2,39.26,-483.62
2020-01-31,short,61.0,31.2,09:45,target,143.8,286.26,-197.36
2020-02-03,long,58.8,28.3,09:45,flat 15:55,33.5,65.76,-131.6
2020-02-05,short,86.0,29.3,10:13,flat 15:55,2.5,3.76,-127.84
2020-02-10,long,59.2,34.4,09:45,flat 15:55,79.8,158.26,30.42
2020-02-11,short,43.0,36.0,14:03,flat 15:55,3.8,6.26,36.68
2020-02-12,long,24.8,37.7,11:25,flat 15:55,18.5,35.76,72.44
2020-02-13,long,39.2,39.4,09:45,flat 15:55,26.0,50.76,123.2
2020-02-14,short,32.0,40.7,09:50,stopped,-33.5,-68.24,54.96
2020-02-17,long,8.0,43.1,10:48,flat 15:55,0.8,0.26,55.22
2020-02-18,long,41.2,44.3,09:53,flat 15:55,21.0,40.76,95.98
2020-02-19,long,30.0,44.0,09:52,flat 15:55,18.8,36.26,132.24
2020-02-20,short,32.8,44.3,11:07,target,141.2,281.26,413.5
2020-02-21,short,78.2,42.5,09:45,flat 15:55,66.0,130.76,544.26
2020-02-25,short,70.8,37.0,09:45,target,187.0,372.76,917.02
2020-02-27,short,91.2,37.8,09:46,stopped,-92.8,-186.74,730.28
2020-03-02,long,111.8,42.8,10:54,flat 15:55,255.2,509.26,1239.54
2020-03-03,short,103.5,42.2,09:50,stopped,-105.0,-211.24,1028.3
2020-03-04,short,95.8,41.0,09:53,stopped,-97.2,-195.74,832.56
