rr,or_minutes,offset_ticks,direction,trades,win_rate,net,profit_factor,expectancy,avg_R,max_drawdown,sharpe
1.0,1,0,both,1053,48.338081671415004,-5036.969999999999,0.7015272155825408,-4.783447293447293,-0.11259848521088606,-5175.8299999999,-2.500831998101606
1.0,1,0,long,991,42.583249243188696,-6347.59,0.6235243669249421,-6.405237134207871,-0.2138891023818437,-6422.779999999861,-3.3602669957884017
1.0,1,0,short,968,42.14876033057851,-6800.320000000001,0.5890896346695347,-7.025123966942149,-0.22374942104120626,-7259.499999999876,-3.7804229668414786
1.0,1,1,both,1053,48.907882241215574,-4646.97,0.7415064259458688,-4.413076923076924,-0.09187967992419371,-4794.5799999999035,-2.146581757814472
1.0,1,1,long,981,44.03669724770643,-6151.4400000000005,0.6547191924453405,-6.270581039755352,-0.18146029944942146,-6230.379999999866,-3.0557029964269895
1.0,1,1,short,956,43.09623430962343,-6549.1900000000005,0.6248400360656376,-6.850617154811716,-0.19784644904575652,-7025.859999999877,-3.4122314830455025
1.0,1,2,both,1053,49.002849002849004,-4681.969999999999,0.7574219413829836,-4.446315289648623,-0.08396333574227048,-4857.079999999902,-2.0212805369382982
1.0,1,2,long,975,44.82051282051282,-6096.500000000001,0.6768074845586975,-6.252820512820514,-0.16325793430158891,-6197.939999999869,-2.846330612557439
1.0,1,2,short,952,43.80252100840336,-6380.4800000000005,0.6547060351545587,-6.70218487394958,-0.17933137528256823,-6907.149999999877,-3.1133338944615705
1.0,1,3,both,1053,48.62298195631529,-4804.47,0.7677270857193688,-4.562649572649573,-0.08419400743945762,-4924.579999999902,-1.945483994291404
1.0,1,3,long,969,44.89164086687307,-6402.810000000001,0.6819611010442993,-6.607647058823531,-0.15689549749811715,-6444.249999999872,-2.820292808141665
1.0,1,3,short,944,44.91525423728814,-5659.310000000001,0.7038142490043071,-5.995031779661018,-0.1501670751660872,-6282.229999999878,-2.604218474866057
1.0,1,4,both,1053,48.338081671415004,-5099.470000000001,0.7697710473706928,-4.842801519468187,-0.08439151414170178,-5228.3299999999,-1.943683180362548
1.0,1,4,long,962,46.98544698544699,-5317.880000000001,0.7418335667628704,-5.527941787941789,-0.11394861645343934,-5430.669999999882,-2.2137516609913375
1.0,1,4,short,938,44.456289978678036,-6288.120000000001,0.6932405917689747,-6.7037526652452035,-0.15448386728606145,-7046.029999999878,-2.739790565378736
1.0,1,8,both,1053,47.38841405508072,-5866.970000000003,0.7883351774880125,-5.571671415004751,-0.08833824141430498,-6409.849999999903,-1.8069717574569646
1.0,1,8,long,924,45.45454545454545,-6710.760000000004,0.7319979744376589,-7.262727272727277,-0.1223707734065961,-7005.079999999888,-2.356796743635772
1.0,1,8,short,905,46.629834254143645,-5480.950000000003,0.7704931281305719,-6.05629834254144,-0.10269393456167238,-6350.009999999909,-1.9829585854661786
1.0,2,0,both,1053,49.287749287749286,-3748.220000000001,0.8168666292734313,-3.5595631528964873,-0.07499304560477488,-3935.5199999999522,-1.4493418672272287
1.0,2,0,long,968,47.62396694214876,-3916.5700000000015,0.7940130474479428,-4.046043388429753,-0.10824344857615865,-3979.2799999999343,-1.653471209102212
1.0,2,0,short,940,46.59574468085106,-4656.85,0.7515018692656023,-4.954095744680852,-0.1251694370989803,-5268.669999999916,-2.0532519480799567
1.0,2,1,both,1053,49.192782526115856,-4123.220000000001,0.8123433528352939,-3.9156885090218436,-0.07253317296742649,-4365.519999999917,-1.5066362850394455
1.0,2,1,long,963,47.66355140186916,-4404.120000000001,0.7838597069818185,-4.573333333333334,-0.10470258970016649,-4419.329999999928,-1.7651441549784224
1.0,2,1,short,934,46.57387580299786,-4665.660000000002,0.7645093933075616,-4.995353319057817,-0.11886273883842544,-5396.349999999896,-1.9526012924447982
1.0,2,2,both,1053,48.05318138651472,-4986.970000000001,0.7900181603593839,-4.735963912630581,-0.08903934406731412,-5201.429999999902,-1.7270554269625273
1.0,2,2,long,954,46.64570230607967,-5121.710000000001,0.764855958084877,-5.368668763102726,-0.11963538497260777,-5135.669999999882,-1.9619810775408044
1.0,2,2,short,929,46.07104413347686,-5003.210000000002,0.7626559595142124,-5.385586652314318,-0.12221471948212692,-5733.749999999884,-1.9898905862998573
