rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,net3,pf3,tr3,net4,pf4,tr4,min_net,sum_net,n_pos
1.0,1,0,both,-947.39,0.7016019301273732,261,-819.8399999999999,0.8121778335754118,266,-1417.2799999999997,0.6268931366638674,272,-1852.4600000000003,0.6654591029595548,254,-1852.4600000000003,-5036.97,0
1.0,1,0,long,-1550.0300000000002,0.5389957439721141,247,-1856.2800000000004,0.6061830124152449,247,-1422.42,0.6129300867520765,258,-1518.8600000000004,0.7027595613978439,239,-1856.2800000000004,-6347.590000000001,0
1.0,1,0,short,-1312.62,0.5770735196509925,238,-1510.0700000000002,0.6569924859850446,243,-2201.2000000000003,0.45995014622465585,255,-1776.4300000000003,0.6423808929455772,232,-2201.2000000000003,-6800.320000000001,0
1.0,1,1,both,-848.6399999999996,0.7537447260444897,261,-552.3399999999998,0.8787401125354284,266,-1317.2799999999997,0.6771269672808201,272,-1928.7100000000005,0.672881551408907,254,-1928.7100000000005,-4646.969999999999,0
1.0,1,1,long,-1497.55,0.5834179451159297,245,-1666.2900000000004,0.6596720266822983,246,-1414.9700000000003,0.6390281359936122,253,-1572.63,0.7090357065546201,237,-1666.2900000000004,-6151.4400000000005,0
1.0,1,1,short,-1188.9099999999999,0.6384874312420371,234,-1391.3300000000004,0.6995752729848138,242,-2346.2400000000002,0.46869083959093827,251,-1622.7100000000005,0.6831374800338985,229,-2346.2400000000002,-6549.1900000000005,0
1.0,1,2,both,-639.8899999999996,0.8243262164069085,261,-938.5900000000001,0.816050752189149,266,-1377.28,0.6909225555979445,272,-1726.2100000000003,0.7170077952736544,254,-1726.2100000000003,-4681.97,0
1.0,1,2,long,-1348.8400000000001,0.6397030737053552,241,-1791.2900000000004,0.6602489207868962,246,-1538.7400000000002,0.6400515568821654,251,-1417.6300000000003,0.745599316635651,237,-1791.2900000000004,-6096.500000000001,0
1.0,1,2,short,-1346.4299999999998,0.6304772621236657,232,-1521.3400000000001,0.6956528697461343,241,-2212.4900000000002,0.5234023945233575,251,-1300.2200000000005,0.7496563170278069,228,-2212.4900000000002,-6380.4800000000005,0
1.0,1,3,both,-609.8899999999996,0.8457435238533642,261,-991.0900000000003,0.8187280289423533,266,-1422.2800000000002,0.7048342042676474,272,-1781.2100000000005,0.7236227375346209,254,-1781.2100000000005,-4804.470000000001,0
1.0,1,3,long,-1337.6100000000001,0.6667397495085597,239,-1775.0600000000004,0.6787890303375771,244,-1721.2400000000005,0.6319085053420357,251,-1568.9000000000003,0.7348119901693326,235,-1775.0600000000004,-6402.810000000001,0
1.0,1,3,short,-1202.72,0.6811875414181583,228,-1678.8500000000004,0.6862654592071283,240,-2031.2700000000002,0.5771323768205247,248,-746.4700000000005,0.8558954915580133,228,-2031.2700000000002,-5659.310000000001,0
1.0,1,4,both,-646.1400000000001,0.8497778542416938,261,-1108.5900000000006,0.8107778727936548,266,-1783.5300000000002,0.666615574127486,272,-1561.2100000000005,0.7648741168904909,254,-1783.5300000000002,-5099.470000000001,0
1.0,1,4,long,-1005.1300000000001,0.753041739147527,237,-1710.0600000000009,0.7047762420542713,244,-1600.0100000000002,0.6732939927308369,249,-1002.6800000000004,0.8282726386802748,232,-1710.0600000000009,-5317.880000000001,0
1.0,1,4,short,-1115.2400000000002,0.7196142319837491,226,-1981.3700000000008,0.6571235249633567,238,-2132.5200000000004,0.5863048298579384,248,-1058.9900000000007,0.8104729451601241,226,-2132.5200000000004,-6288.120000000002,0
1.0,1,8,both,-812.3900000000008,0.8563085124634975,261,-1008.5900000000005,0.8580434403202291,266,-2506.0300000000007,0.6448974097375731,272,-1539.9600000000005,0.8051270629860879,254,-2506.0300000000007,-5866.970000000003,0
1.0,1,8,long,-906.5200000000006,0.8120761960832281,223,-2101.4100000000008,0.6963806854302722,234,-2275.090000000001,0.6366321041602783,241,-1427.7400000000002,0.797016393768918,226,-2275.090000000001,-6710.760000000002,0
1.0,1,8,short,-999.1000000000006,0.7898343875621338,215,-1030.1900000000007,0.8364154598577238,231,-2610.100000000001,0.5938276619219465,240,-841.5600000000007,0.8685855093646645,219,-2610.100000000001,-5480.950000000003,0
1.0,2,0,both,-846.1400000000001,0.7877981557043007,261,213.90999999999968,1.0405034385603489,266,-1397.28,0.7015041432834802,272,-1718.71,0.7362882017006835,254,-1718.71,-3748.2200000000003,1
1.0,2,0,long,-963.8300000000002,0.7428065184963806,242,-408.8200000000004,0.9205599395290182,243,-1462.47,0.6719904365027745,253,-1081.4500000000003,0.8089749704131561,230,-1462.47,-3916.570000000001,0
1.0,2,0,short,-1042.7,0.711065789546606,230,-568.8800000000003,0.8880725930531346,237,-1792.5200000000002,0.6040677307204674,248,-1252.7500000000005,0.773105149530544,225,-1792.5200000000002,-4656.85,0
1.0,2,1,both,-858.6399999999999,0.8009504601618099,261,-543.5900000000004,0.9097578224606887,266,-1384.78,0.7236563774675321,272,-1336.2100000000005,0.7982680348868985,254,-1384.78,-4123.220000000001,0
