or_minutes,offset_ticks,direction,bias,max_or_points,regime,target,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
15,2,both,vwap_slope,130,none,rr2.0,1348,28755.47999999999,1.320100649407754,45.25222551928783,-3142.50000000008,3149.159999999999,4259.979999999998,4856.599999999998,7224.919999999998,9264.82,3149.159999999999,5,207
15,2,both,vwap_slope,130,adx,atr1.5,862,27603.119999999995,1.4511860438431343,45.12761020881671,-1606.92,3210.2400000000007,5027.5,3132.6999999999985,6217.619999999999,6599.38,3132.6999999999985,5,113
15,2,both,vwap_slope,130,adx,atr2.0,862,27240.619999999995,1.4452608099966298,45.12761020881671,-1606.92,3398.7400000000007,4854.0,3102.1999999999985,5496.619999999999,6995.38,3102.1999999999985,5,113
15,2,both,vwap_slope,130,adx,atr2.5,862,28092.619999999995,1.459187152720001,45.12761020881671,-1606.92,3578.7400000000007,4854.0,3102.1999999999985,5772.619999999999,7391.38,3102.1999999999985,5,113
15,2,both,vwap_slope,130,adx,atr1.0,862,27519.619999999995,1.4526193734292967,45.47563805104408,-1632.2200000000355,3094.2400000000002,5009.5,3249.1999999999985,5357.119999999999,7760.88,3094.2400000000002,5,113
15,2,both,vwap_slope,130,adx,rr3.0,862,24958.119999999995,1.40873889312507,45.243619489559165,-1817.2200000000048,2989.24,4338.5,3802.1999999999985,5075.119999999999,5867.88,2989.24,5,113
15,2,both,vwap_slope,130,adx,rr2.0,862,21712.119999999995,1.3655981332236813,47.09976798143852,-1606.92,3549.2400000000007,3375.9999999999986,2915.1999999999985,3498.6199999999994,5812.88,2915.1999999999985,5,113
15,2,both,vwap_slope,130,none,atr2.5,1338,36142.37999999999,1.39288219136864,43.34828101644245,-3212.00000000008,2888.0599999999986,5031.339999999999,5040.499999999997,9287.799999999997,11524.98,2888.0599999999986,5,198
15,0,both,vwap_slope,130,adx,rr2.0,864,21137.139999999992,1.3573941393633462,46.52777777777778,-1591.92,2920.9999999999995,3333.4999999999986,2825.4599999999987,3679.1199999999994,5821.88,2825.4599999999987,5,113
15,2,both,vwap_slope,130,none,atr1.0,1338,35306.87999999999,1.3859056676200578,43.64723467862481,-3212.00000000008,2820.0599999999986,5306.839999999999,4785.999999999997,8473.799999999997,11837.48,2820.0599999999986,5,198
30,0,both,none,130,none,rr3.0,1370,24219.69999999999,1.2689234755558634,46.56934306569343,-2404.059999999974,2750.2999999999984,5003.599999999997,4782.919999999999,8454.319999999998,3228.5599999999995,2750.2999999999984,5,156
15,1,both,vwap_slope,130,adx,rr2.0,863,21084.38,1.3551612160969824,46.81344148319815,-1599.42,3015.2400000000007,3419.9999999999986,2746.4599999999987,3527.1199999999994,5817.38,2746.4599999999987,5,113
15,0,both,vwap_slope,130,adx,atr2.5,864,27839.639999999992,1.4571184809283562,44.56018518518518,-1871.5399999999972,2744.499999999999,4844.0,3147.4599999999987,6091.619999999999,7556.38,2744.499999999999,5,113
15,1,both,vwap_slope,130,adx,atr2.5,863,27545.38,1.450520467036651,44.84356894553882,-1890.0399999999972,2732.739999999999,4962.5,3019.4599999999987,5932.119999999999,7473.88,2732.739999999999,5,113
15,2,both,vwap_slope,130,none,atr2.0,1338,35511.87999999999,1.3860284030553651,43.34828101644245,-3212.00000000008,2708.0599999999986,5259.839999999999,5032.999999999997,9011.799999999997,11128.98,2708.0599999999986,5,198
15,2,both,vwap_slope,130,none,rr3.0,1348,33169.97999999999,1.360226496482984,43.62017804154303,-3212.00000000008,2679.159999999998,4545.979999999998,5734.599999999998,9781.919999999998,10428.32,2679.159999999998,5,207
15,1,both,vwap_slope,130,none,rr2.0,1350,28095.499999999996,1.313200284756921,45.03703703703704,-3109.50000000008,2658.159999999999,4341.979999999998,4702.359999999998,7105.1799999999985,9287.82,2658.159999999999,5,207
15,2,both,vwap_slope,130,adx,rr2.5,862,24913.619999999995,1.4123365209878749,46.05568445475638,-1962.719999999994,2610.239999999999,4040.999999999999,3950.1999999999985,4451.119999999999,7025.38,2610.239999999999,5,113
30,0,both,none,130,none,rr2.0,1370,22143.19999999999,1.2487202418460417,47.37226277372263,-2191.199999999977,2736.2999999999984,4203.099999999997,3123.9199999999987,9472.819999999998,2607.0599999999986,2607.0599999999986,5,156
15,2,both,vwap_slope,130,none,atr1.5,1338,35687.37999999999,1.387936158565246,43.34828101644245,-3212.00000000008,2600.5599999999986,5302.339999999999,4849.999999999997,9794.799999999997,10777.48,2600.5599999999986,5,198
15,0,both,vwap_slope,130,adx,atr2.0,864,26984.639999999992,1.4430796391475809,44.56018518518518,-1871.5399999999972,2562.499999999999,4844.0,3147.4599999999987,5814.619999999999,7160.38,2562.499999999999,5,113
15,1,both,vwap_slope,130,adx,atr2.0,863,26691.88,1.4365609856784056,44.84356894553882,-1890.0399999999972,2551.739999999999,4962.5,3019.4599999999987,5655.619999999999,7077.88,2551.739999999999,5,113
15,0,both,vwap_slope,130,none,rr2.0,1351,28433.259999999995,1.3184726802378943,44.92968171724648,-2809.00000000008,2502.4199999999987,4293.479999999998,4795.859999999998,7263.1799999999985,9578.32,2502.4199999999987,5,207
30,0,both,none,130,none,rr1.5,1370,20650.69999999999,1.2371054595556574,48.9051094890511,-1798.03999999999,2482.7999999999984,3911.0999999999976,2532.4199999999983,9348.819999999998,2375.5599999999986,2375.5599999999986,5,156
15,0,both,vwap_slope,130,adx,atr1.5,864,27337.139999999992,1.4488675826887776,44.56018518518518,-1871.5399999999972,2370.999999999999,5016.5,3176.9599999999987,6531.619999999999,6764.38,2370.999999999999,5,113
