rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd
1.0,15,0,both,none,0,none,1838,5854.3799999999865,1.044385055928819,52.66594124047879,-5976.959999999983
1.0,15,0,both,none,0,adx,1167,-4.5800000000067485,0.9999487914789019,52.784918594687234,-6657.999999999965
1.0,15,0,both,none,130,none,1622,14204.219999999987,1.1496540226218084,53.57583230579531,-2458.9800000000014
1.0,15,0,both,none,130,adx,1020,7586.199999999993,1.1200475366850597,53.92156862745098,-2981.7399999999725
1.0,15,0,both,none,200,none,1796,5988.459999999987,1.0485040862444623,52.672605790645875,-4081.019999999984
1.0,15,0,both,none,200,adx,1138,2103.379999999992,1.0254983276943275,52.98769771528998,-4345.599999999964
1.0,15,0,both,vwap,0,none,1634,8423.339999999991,1.0734852041860534,53.12117503059975,-5521.079999999985
1.0,15,0,both,vwap,0,adx,1042,2045.4199999999923,1.0261243088058776,53.550863723608444,-5068.639999999992
1.0,15,0,both,vwap,130,none,1437,11639.619999999992,1.1395051098410884,53.58385525400139,-2213.4400000000005
1.0,15,0,both,vwap,130,adx,910,7858.099999999993,1.1417275316565278,54.61538461538461,-1748.240000000001
1.0,15,0,both,vwap,200,none,1597,8759.21999999999,1.0819288517378505,53.162179085785844,-3358.8799999999865
1.0,15,0,both,vwap,200,adx,1017,4662.919999999992,1.0649761522421688,53.88397246804326,-2906.4399999999932
1.0,15,0,both,vwap_slope,0,none,1538,12070.879999999988,1.114449445382581,53.51105331599479,-3840.3599999999915
1.0,15,0,both,vwap_slope,0,adx,991,5905.159999999993,1.0815697433488964,54.59132189707366,-3840.3599999999915
1.0,15,0,both,vwap_slope,130,none,1351,14268.759999999991,1.1863728816038808,53.960029607698004,-2734.8999999999705
1.0,15,0,both,vwap_slope,130,adx,864,11670.139999999992,1.2313418219763765,55.90277777777778,-1738.6599999999817
1.0,15,0,both,vwap_slope,200,none,1503,12825.279999999992,1.1310965730826228,53.62608117099135,-3395.859999999988
1.0,15,0,both,vwap_slope,200,adx,967,8660.419999999995,1.1313430617525109,55.015511892450874,-2436.779999999997
1.0,15,0,long,none,0,none,1426,8575.759999999993,1.0919070846526946,52.80504908835905,-4064.4599999999955
1.0,15,0,long,none,0,adx,906,4749.559999999994,1.0745107562710923,53.42163355408388,-2985.8000000000006
1.0,15,0,long,none,130,none,1262,5370.119999999993,1.0750587877479958,52.6148969889065,-3881.42
1.0,15,0,long,none,130,adx,790,2790.3999999999946,1.0588132884645949,53.291139240506325,-2727.920000000001
1.0,15,0,long,none,200,none,1394,4838.939999999992,1.0544316507044256,52.51076040172167,-4684.999999999996
1.0,15,0,long,none,200,adx,883,1514.079999999994,1.025017183947549,53.00113250283126,-3205.5799999999977
1.0,15,0,long,vwap,0,none,873,5681.979999999994,1.0985245540629816,53.608247422680414,-2730.6199999999917
1.0,15,0,long,vwap,0,adx,537,1675.1199999999958,1.0431664983938058,53.81750465549349,-2229.3399999999974
1.0,15,0,long,vwap,130,none,783,6075.079999999996,1.1386945035235931,53.76756066411239,-2249.5999999999995
1.0,15,0,long,vwap,130,adx,476,3293.2599999999966,1.1160933665264348,54.621848739495796,-2016.6199999999997
1.0,15,0,long,vwap,200,none,856,3746.559999999995,1.0682057576279447,53.387850467289724,-2613.9800000000005
1.0,15,0,long,vwap,200,adx,528,247.27999999999633,1.006638870468463,53.59848484848485,-2074.4400000000005
1.0,15,0,long,vwap_slope,0,none,794,5926.439999999995,1.113957815279751,53.5264483627204,-3104.7400000000016
1.0,15,0,long,vwap_slope,0,adx,492,3837.9199999999964,1.1119505470464621,54.87804878048781,-1995.1399999999976
1.0,15,0,long,vwap_slope,130,none,704,5490.539999999995,1.1409964515530937,53.55113636363637,-2604.959999999994
1.0,15,0,long,vwap_slope,130,adx,432,4388.819999999997,1.1770108025786798,55.55555555555556,-1868.8799999999997
1.0,15,0,long,vwap_slope,200,none,779,4422.539999999996,1.0896564642689026,53.40179717586649,-3594.500000000002
1.0,15,0,long,vwap_slope,200,adx,484,2560.8399999999965,1.0781075859679388,54.75206611570248,-2314.420000000001
1.0,15,0,short,none,0,none,1358,35.07999999999038,1.0003586189693894,51.76730486008837,-6055.759999999966
1.0,15,0,short,none,0,adx,871,-2930.0400000000054,0.9558221802195231,51.549942594718715,-5763.699999999998
1.0,15,0,short,none,130,none,1194,8771.439999999991,1.1262166321894258,52.847571189279726,-3289.83999999998
1.0,15,0,short,none,130,adx,761,5361.359999999995,1.1155965771394172,52.95663600525624,-2265.0599999999795
1.0,15,0,short,none,200,none,1331,3572.55999999999,1.039178236983722,51.99098422238918,-4515.539999999952
1.0,15,0,short,none,200,adx,851,1528.2599999999943,1.0252173887216267,52.05640423031728,-3722.9199999999737
1.0,15,0,short,vwap,0,none,761,2741.359999999994,1.0481314932112078,52.56241787122208,-3274.539999999999
1.0,15,0,short,vwap,0,adx,505,370.2999999999963,1.0093771429671174,53.26732673267327,-3800.4599999999905
1.0,15,0,short,vwap,130,none,654,5564.539999999995,1.1404009769587111,53.36391437308868,-2086.420000000001
1.0,15,0,short,vwap,130,adx,434,4564.8399999999965,1.1685825056559287,54.60829493087558,-1407.9399999999878
1.0,15,0,short,vwap,200,none,741,5012.659999999994,1.0964302052277064,52.90148448043185,-2823.800000000001
1.0,15,0,short,vwap,200,adx,489,4415.639999999997,1.1279292715954743,54.19222903885481,-1997.9599999999882
1.0,15,0,short,vwap_slope,0,none,744,6144.439999999995,1.1149276684634049,53.494623655913976,-2870.840000000001
1.0,15,0,short,vwap_slope,0,adx,499,2067.239999999996,1.0542415823793836,54.30861723446894,-2369.079999999991
1.0,15,0,short,vwap_slope,130,none,647,8778.219999999994,1.233343523138389,54.404945904173104,-1469.0399999999954
1.0,15,0,short,vwap_slope,130,adx,432,7281.319999999998,1.2838570742447961,56.25,-1321.659999999998
1.0,15,0,short,vwap_slope,200,none,724,8402.739999999996,1.1732410836737233,53.86740331491713,-2467.179999999996
1.0,15,0,short,vwap_slope,200,adx,483,6099.579999999996,1.1839919592993828,55.27950310559007,-1454.9399999999966
1.0,15,1,both,none,0,none,1838,5414.8799999999865,1.0407581929546905,52.55712731229597,-6002.459999999983
