rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
2.0,15,2,both,vwap_slope,130,none,1348,28755.47999999999,1.320100649407754,45.25222551928783,-3142.50000000008,3149.159999999999,4259.979999999998,4856.599999999998,7224.919999999998,9264.82,3149.159999999999,5,207
3.0,15,2,both,vwap_slope,130,adx,862,24958.119999999995,1.40873889312507,45.243619489559165,-1817.2200000000048,2989.24,4338.5,3802.1999999999985,5075.119999999999,5867.88,2989.24,5,113
2.0,15,2,both,vwap,130,adx,908,17608.079999999994,1.2703306684205533,45.92511013215859,-2188.1999999999935,2942.039999999999,3650.1599999999985,3353.5199999999986,3519.679999999999,3798.9799999999996,2942.039999999999,5,123
2.0,15,2,both,vwap_slope,130,adx,862,21712.119999999995,1.3655981332236813,47.09976798143852,-1606.92,3549.2400000000007,3375.9999999999986,2915.1999999999985,3498.6199999999994,5812.88,2915.1999999999985,5,113
2.0,15,0,both,vwap_slope,130,adx,864,21137.139999999992,1.3573941393633462,46.52777777777778,-1591.92,2920.9999999999995,3333.4999999999986,2825.4599999999987,3679.1199999999994,5821.88,2825.4599999999987,5,113
3.0,30,0,both,none,130,none,1370,24219.69999999999,1.2689234755558634,46.56934306569343,-2404.059999999974,2750.2999999999984,5003.599999999997,4782.919999999999,8454.319999999998,3228.5599999999995,2750.2999999999984,5,156
2.0,15,1,both,vwap_slope,130,adx,863,21084.379999999997,1.3551612160969824,46.81344148319815,-1599.42,3015.2400000000007,3419.9999999999986,2746.4599999999987,3527.1199999999994,5817.38,2746.4599999999987,5,113
3.0,15,2,both,vwap,130,adx,908,20469.079999999994,1.3052869363832176,43.942731277533035,-1882.300000000032,3311.039999999999,5076.659999999998,4145.519999999999,4169.1799999999985,2709.9799999999996,2709.9799999999996,5,123
3.0,15,2,both,vwap_slope,130,none,1348,33169.97999999999,1.360226496482984,43.62017804154303,-3212.00000000008,2679.159999999998,4545.979999999998,5734.599999999998,9781.919999999998,10428.32,2679.159999999998,5,207
2.0,15,1,both,vwap_slope,130,none,1350,28095.499999999993,1.313200284756921,45.03703703703704,-3109.50000000008,2658.159999999999,4341.979999999998,4702.359999999998,7105.1799999999985,9287.82,2658.159999999999,5,207
3.0,15,2,both,vwap,130,none,1434,26689.33999999999,1.2633987309966292,42.53835425383542,-2554.0400000000736,2652.5199999999986,3757.279999999997,6023.979999999998,8459.599999999999,5795.959999999998,2652.5199999999986,5,221
3.0,15,1,both,vwap,130,adx,909,19867.339999999993,1.2966298221117496,43.67436743674367,-1903.2999999999995,2640.539999999999,5134.159999999999,4000.2799999999984,4244.6799999999985,2770.4799999999996,2640.539999999999,5,123
2.5,15,2,both,vwap,130,adx,908,20021.079999999994,1.3013884799339086,44.713656387665196,-1882.300000000032,2620.039999999999,4454.159999999998,4056.0199999999986,3927.6799999999985,3818.9799999999996,2620.039999999999,5,123
2.5,15,2,both,vwap_slope,130,adx,862,24913.619999999995,1.4123365209878749,46.05568445475638,-1962.719999999994,2610.239999999999,4040.999999999999,3950.1999999999985,4451.119999999999,7025.38,2610.239999999999,5,113
2.0,30,0,both,none,130,none,1370,22143.19999999999,1.2487202418460415,47.37226277372263,-2191.199999999977,2736.2999999999984,4203.099999999997,3123.9199999999987,9472.819999999998,2607.0599999999986,2607.0599999999986,5,156
3.0,15,0,both,vwap,130,adx,910,20053.59999999999,1.30063519333894,43.40659340659341,-1885.2999999999997,2557.7999999999993,5128.159999999999,4065.7799999999984,4373.1799999999985,2830.9799999999996,2557.7999999999993,5,123
