rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd
1.0,15,0,both,none,0,523,5140.479999999996,1.1047152073432323,54.11089866156787,-5976.959999999983
1.0,15,0,both,none,90,224,2240.239999999998,1.1730150198019191,54.91071428571429,-2315.5999999999913
1.0,15,0,both,none,130,388,6585.8799999999965,1.2409185654073265,55.927835051546396,-1854.879999999992
1.0,15,0,both,none,180,470,1951.699999999997,1.0477891430471533,53.61702127659574,-3668.559999999985
1.0,15,0,both,none,250,514,4158.639999999996,1.0876049443884794,53.89105058365759,-5337.219999999983
1.0,15,0,both,vwap,0,470,7992.199999999997,1.1920454053950142,56.38297872340425,-5521.079999999985
1.0,15,0,both,vwap,90,202,3471.019999999998,1.315149038941701,57.920792079207914,-1813.379999999992
1.0,15,0,both,vwap,130,346,7252.959999999997,1.3106386951817972,57.80346820809249,-1311.3199999999852
1.0,15,0,both,vwap,180,421,4529.959999999997,1.1314436235351741,55.819477434679335,-3446.199999999977
1.0,15,0,both,vwap,250,462,7624.119999999996,1.1906197745401594,56.27705627705628,-4881.339999999986
1.0,15,0,both,vwap_slope,0,443,10968.679999999997,1.2934284972887367,57.11060948081265,-4406.8599999999915
1.0,15,0,both,vwap_slope,90,186,1993.8599999999988,1.1843964153927253,54.3010752688172,-1708.6799999999935
1.0,15,0,both,vwap_slope,130,325,7922.999999999997,1.370175177939185,57.84615384615385,-1677.7599999999893
1.0,15,0,both,vwap_slope,180,397,8471.219999999998,1.2795455580437136,56.92695214105793,-2384.5399999999954
1.0,15,0,both,vwap_slope,250,435,10600.599999999995,1.2964259209236333,57.01149425287356,-3767.1199999999917
1.0,15,0,long,none,0,398,9197.979999999996,1.288733468733029,57.286432160804026,-1934.359999999997
1.0,15,0,long,none,90,180,3637.7999999999993,1.4054496860322816,58.88888888888889,-814.1999999999989
1.0,15,0,long,none,130,300,4857.999999999998,1.2471796687853496,57.333333333333336,-1371.5800000000004
1.0,15,0,long,none,180,363,5856.8799999999965,1.2179390145248514,57.02479338842975,-2341.2800000000007
1.0,15,0,long,none,250,391,7838.659999999998,1.255786527926613,57.033248081841435,-1937.0200000000004
1.0,15,0,long,vwap,0,249,3654.239999999998,1.1686747210403046,56.62650602409639,-2730.6199999999917
1.0,15,0,long,vwap,90,111,2521.3600000000006,1.452521626763344,59.45945945945946,-1248.979999999994
1.0,15,0,long,vwap,130,189,3466.1399999999985,1.2755562975506214,57.67195767195767,-2086.9599999999937
1.0,15,0,long,vwap,180,226,1900.759999999998,1.1063852651515989,56.19469026548673,-2877.639999999989
1.0,15,0,long,vwap,250,243,2908.6799999999976,1.1422098189839947,56.37860082304527,-2090.879999999992
1.0,15,0,long,vwap_slope,0,223,4919.479999999998,1.26778801140941,57.399103139013455,-2206.8999999999924
1.0,15,0,long,vwap_slope,90,95,1514.1999999999994,1.3009392675859275,55.78947368421052,-1106.0799999999992
1.0,15,0,long,vwap_slope,130,168,3436.1799999999985,1.3159984697499734,57.738095238095234,-964.8600000000001
1.0,15,0,long,vwap_slope,180,204,3767.039999999998,1.250928900014521,57.35294117647059,-1529.8400000000001
1.0,15,0,long,vwap_slope,250,217,4173.919999999998,1.2432379826828015,57.14285714285714,-1742.1999999999935
1.0,15,0,short,none,0,389,-413.8600000000033,0.9889894539688615,51.156812339331616,-5833.499999999982
1.0,15,0,short,none,90,168,338.6799999999989,1.0325100550025437,52.38095238095239,-1270.8600000000008
1.0,15,0,short,none,130,288,2756.8799999999974,1.129985468529134,52.77777777777778,-3289.8399999999947
1.0,15,0,short,none,180,352,29.019999999997026,1.0009198821333654,50.85227272727273,-4629.9599999999955
1.0,15,0,short,none,250,385,-404.9000000000033,0.9891094024937821,50.90909090909091,-6233.2799999999725
1.0,15,0,short,vwap,0,221,4337.959999999998,1.2174222049361008,56.10859728506787,-2904.8399999999965
1.0,15,0,short,vwap,90,91,949.6599999999992,1.174502489847669,56.043956043956044,-1064.3000000000004
1.0,15,0,short,vwap,130,157,3786.819999999999,1.3516133944422573,57.961783439490446,-2005.179999999993
1.0,15,0,short,vwap,180,195,2629.199999999998,1.1584200892001746,55.38461538461539,-2486.3799999999756
1.0,15,0,short,vwap,250,219,4715.439999999998,1.2412848768666491,56.16438356164384,-2904.8399999999965
1.0,15,0,short,vwap_slope,0,220,6049.199999999998,1.3182064459792837,56.81818181818182,-2513.979999999994
1.0,15,0,short,vwap_slope,90,91,479.6599999999994,1.0829672116402482,52.74725274725275,-891.1000000000001
1.0,15,0,short,vwap_slope,130,157,4486.819999999999,1.4261254741512763,57.961783439490446,-1725.2799999999952
1.0,15,0,short,vwap_slope,180,193,4704.1799999999985,1.3076404929384031,56.476683937823836,-2107.4999999999945
1.0,15,0,short,vwap_slope,250,218,6426.6799999999985,1.3454914534049822,56.88073394495413,-2545.2399999999943
1.0,15,1,both,none,0,523,5141.979999999996,1.1042604615702798,54.11089866156787,-6002.459999999983
1.0,15,1,both,none,90,224,2253.739999999998,1.1727633987569412,54.91071428571429,-2332.5999999999913
1.0,15,1,both,none,130,388,6609.3799999999965,1.2403320019897428,55.927835051546396,-1866.879999999992
1.0,15,1,both,none,180,470,1953.699999999997,1.0475945471757775,53.61702127659574,-3687.559999999985
1.0,15,1,both,none,250,514,4161.139999999996,1.0872422603140948,53.89105058365759,-5361.719999999983
1.0,15,1,both,vwap,0,470,8004.199999999997,1.1914413229307679,56.38297872340425,-5542.079999999985
1.0,15,1,both,vwap,90,202,3492.019999999998,1.3147126416063593,57.920792079207914,-1826.879999999992
1.0,15,1,both,vwap,130,346,7282.459999999997,1.310043110384894,57.80346820809249,-1323.3199999999852
1.0,15,1,both,vwap,180,421,4540.459999999997,1.1310732134279273,55.819477434679335,-3468.199999999977
1.0,15,1,both,vwap,250,462,7638.119999999996,1.1900598139045555,56.27705627705628,-4901.339999999986
1.0,15,1,both,vwap_slope,0,443,10986.179999999997,1.2924999201269445,57.11060948081265,-4423.8599999999915
1.0,15,1,both,vwap_slope,90,186,2001.8599999999983,1.1837344200304716,54.3010752688172,-1721.6799999999935
1.0,15,1,both,vwap_slope,130,325,7946.499999999997,1.3690060032839744,57.84615384615385,-1685.7599999999893
1.0,15,1,both,vwap_slope,180,397,8488.219999999998,1.2786125141304874,56.92695214105793,-2397.5399999999954
1.0,15,1,both,vwap_slope,250,435,10620.099999999995,1.2955168128561405,57.01149425287356,-3783.1199999999917
1.0,15,1,long,none,0,398,9198.479999999996,1.2873241020418997,57.286432160804026,-1939.859999999997
1.0,15,1,long,none,90,180,3653.7999999999993,1.404080395830246,58.88888888888889,-819.1999999999989
1.0,15,1,long,none,130,300,4864.999999999998,1.2460211826008156,57.333333333333336,-1382.0800000000004
1.0,15,1,long,none,180,363,5857.3799999999965,1.2167799040264333,57.02479338842975,-2356.2800000000007
1.0,15,1,long,none,250,391,7839.159999999998,1.254507274363566,57.033248081841435,-1951.0200000000004
1.0,15,1,long,vwap,0,249,3651.739999999998,1.1677655819013435,56.62650602409639,-2742.1199999999917
1.0,15,1,long,vwap,90,111,2535.3600000000006,1.4515896906114745,59.45945945945946,-1258.479999999994
1.0,15,1,long,vwap,130,189,3476.1399999999985,1.2746916165535336,57.67195767195767,-2100.4599999999937
1.0,15,1,long,vwap,180,226,1898.759999999998,1.1057171300100874,56.19469026548673,-2897.639999999989
1.0,15,1,long,vwap,250,243,2907.1799999999976,1.14144149491533,56.37860082304527,-2101.379999999992
1.0,15,1,long,vwap_slope,0,223,4918.979999999998,1.2664626252011066,57.399103139013455,-2216.3999999999924
1.0,15,1,long,vwap_slope,90,95,1521.1999999999994,1.2999459734441734,55.78947368421052,-1114.5799999999992
1.0,15,1,long,vwap_slope,130,168,3441.1799999999985,1.3144916304455112,57.738095238095234,-973.8600000000001
1.0,15,1,long,vwap_slope,180,204,3767.039999999998,1.2495574658427226,57.35294117647059,-1540.8400000000001
1.0,15,1,long,vwap_slope,250,217,4174.419999999998,1.2420329651215372,57.14285714285714,-1751.1999999999935
1.0,15,1,short,none,0,389,-515.3600000000033,0.9863533573770139,51.156812339331616,-5956.499999999982
1.0,15,1,short,none,90,168,246.67999999999893,1.0235040780547298,52.38095238095239,-1373.3600000000008
1.0,15,1,short,none,130,288,2673.8799999999974,1.1253157639683669,52.77777777777778,-3398.8399999999947
1.0,15,1,short,none,180,352,-65.98000000000297,0.9979192696819487,50.85227272727273,-4745.9599999999955
