rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,min_seg,n_pos,min_seg_trades
2.5,15,0,both,vwap_slope,250,435,17942.6,1.4299894555214727,48.275862068965516,-3438.939999999988,2886.8600000000006,6573.799999999999,3233.08,5248.860000000002,2886.8600000000006,4,105
2.5,15,1,both,vwap_slope,250,435,17826.1,1.425058419571749,48.275862068965516,-3480.939999999988,2862.3600000000006,6555.799999999999,3191.58,5216.360000000002,2862.3600000000006,4,105
2.5,15,0,both,vwap_slope,0,443,18830.679999999997,1.4344099297494772,48.53273137697517,-3438.939999999988,2648.379999999999,8390.820000000002,3233.08,4558.4,2648.379999999999,4,107
2.5,15,2,both,vwap_slope,250,435,17501.6,1.4152415298472054,48.275862068965516,-3522.939999999988,2624.3600000000006,6537.799999999999,3150.08,5189.360000000002,2624.3600000000006,4,105
2.5,15,1,both,vwap_slope,0,443,18712.179999999997,1.4295703740706545,48.53273137697517,-3480.939999999988,2622.879999999999,8374.820000000002,3191.58,4522.9,2622.879999999999,4,107
2.5,15,4,both,vwap_slope,250,435,17298.6,1.4067460410766808,48.04597701149425,-3592.439999999988,2593.8600000000006,6487.799999999999,3081.58,5135.360000000002,2593.8600000000006,4,105
2.5,15,0,both,vwap_slope,180,397,17025.219999999998,1.480572694113575,48.11083123425693,-3438.939999999988,2502.58,4859.4400000000005,3342.74,6320.46,2502.58,4,94
2.5,15,0,both,vwap_slope,130,325,15167.999999999998,1.5947111173495832,48.30769230769231,-3492.999999999989,2485.5,6007.74,3532.92,3141.84,2485.5,4,59
2.5,15,1,both,vwap_slope,180,397,16928.219999999998,1.4752322650665584,48.11083123425693,-3480.939999999988,2480.08,4842.9400000000005,3307.74,6297.46,2480.08,4,94
2.5,15,1,both,vwap_slope,130,325,15103.999999999998,1.5885213401329155,48.30769230769231,-3530.999999999989,2466.0,6003.24,3502.42,3132.34,2466.0,4,59
2.5,15,2,both,vwap_slope,0,443,18385.679999999997,1.420025988789365,48.53273137697517,-3522.939999999988,2383.879999999999,8358.820000000002,3150.08,4492.9,2383.879999999999,4,107
2.0,15,0,both,vwap_slope,250,435,14806.099999999999,1.357108918207994,48.735632183908045,-3348.859999999986,2363.3600000000006,5353.299999999999,3005.58,4083.8600000000015,2363.3600000000006,4,105
3.0,15,0,both,vwap_slope,130,325,15774.499999999998,1.6103137982878946,47.38461538461539,-3497.999999999989,2982.5,6770.240000000001,2352.42,3669.34,2352.42,4,59
2.5,15,4,both,vwap_slope,0,443,18178.679999999997,1.4116645863036628,48.306997742663654,-3592.439999999988,2351.379999999999,8312.820000000002,3081.58,4432.9,2351.379999999999,4,107
2.5,15,2,both,vwap_slope,180,397,16623.219999999998,1.4641420591518504,48.11083123425693,-3522.939999999988,2244.08,4826.4400000000005,3272.74,6279.96,2244.08,4,94
2.5,15,2,both,vwap_slope,130,325,14826.499999999998,1.574140464114139,48.30769230769231,-3568.999999999989,2233.0,5998.74,3471.92,3122.84,2233.0,4,59
3.0,15,1,both,vwap_slope,130,325,15601.999999999998,1.5998798856068046,47.38461538461539,-3538.999999999989,2948.0,6759.740000000001,2232.92,3661.34,2232.92,4,59
2.0,15,1,both,vwap_slope,250,435,14338.599999999999,1.344106964838626,48.735632183908045,-3652.859999999986,2218.3599999999997,5071.299999999999,2980.58,4068.3600000000015,2218.3599999999997,4,105
2.5,15,4,both,vwap_slope,180,397,16473.219999999998,1.4555120564049837,47.858942065491185,-3592.439999999988,2217.58,4793.4400000000005,3217.24,6244.96,2217.58,4,94
2.5,15,4,both,vwap_slope,130,325,14731.499999999998,1.5643375015227514,48.0,-3630.499999999989,2212.5,5989.74,3425.42,3103.84,2212.5,4,59
2.0,15,2,both,vwap_slope,250,435,14262.099999999999,1.3405710339465415,48.735632183908045,-3689.359999999986,2196.8599999999997,5056.799999999999,2955.58,4052.8600000000015,2196.8599999999997,4,105
3.0,15,2,both,vwap_slope,130,325,15495.999999999998,1.592116173376629,47.38461538461539,-3579.999999999989,2913.5,6749.240000000001,2179.92,3653.34,2179.92,4,59
3.0,15,0,both,vwap_slope,180,397,18225.719999999998,1.5095443888588502,47.3551637279597,-3443.939999999988,3131.08,5800.440000000001,2162.24,7131.96,2162.24,4,94
2.0,15,0,both,vwap_slope,0,443,15336.679999999998,1.355998527416196,48.98419864559819,-3364.8600000000333,2124.879999999999,6812.820000000002,3005.58,3393.3999999999996,2124.879999999999,4,107
2.0,15,0,both,vwap_slope,130,325,12974.499999999998,1.5140891613545373,48.92307692307693,-3175.999999999989,2093.5,5369.24,2975.42,2536.34,2093.5,4,59
3.0,15,4,both,vwap_slope,130,325,15322.999999999998,1.5791929022693718,47.07692307692308,-3647.499999999989,2869.0,6728.240000000001,2088.419999999999,3637.34,2088.419999999999,4,59
1.5,15,0,both,vwap_slope,250,435,13129.599999999997,1.330661100578435,51.03448275862069,-2919.479999999994,2060.8599999999997,5556.800000000001,2401.58,3110.3600000000006,2060.8599999999997,4,105
