rr,or_minutes,offset_ticks,direction,trades,win_rate,net,profit_factor,expectancy,avg_R,max_drawdown,sharpe
1.0,1,0,both,523,48.37476099426386,-3394.5200000000013,0.8489263127912309,-6.490478011472278,-0.0440362745501826,-4152.5199999999895,-1.165971446858408
1.0,1,0,long,468,44.230769230769226,-4102.820000000001,0.8001367878434188,-8.766709401709402,-0.125392913416847,-5824.239999999956,-1.5785562080400763
1.0,1,0,short,479,45.3027139874739,-4754.96,0.7763359044337135,-9.926847599164928,-0.10521394101827213,-5502.119999999979,-1.8014458158604447
1.0,1,1,both,523,49.1395793499044,-3011.0200000000013,0.8663600646935491,-5.757208413001915,-0.028749596803837204,-3818.0199999999923,-1.0234281745552998
1.0,1,1,long,466,45.06437768240343,-3843.3400000000006,0.812989260119972,-8.247510729613735,-0.10889778922068684,-5574.259999999958,-1.4686747350479632
1.0,1,1,short,478,45.81589958158996,-4567.22,0.7863804573960156,-9.554853556485357,-0.09483757772801212,-5238.379999999982,-1.714172439979905
1.0,1,2,both,523,48.37476099426386,-3602.020000000001,0.8440400419123824,-6.887227533460805,-0.04353705504353141,-4428.07999999999,-1.212784199288224
1.0,1,2,long,466,45.06437768240343,-3761.3400000000006,0.8186470489536383,-8.071545064377684,-0.10865581876886922,-5501.759999999966,-1.4228865400337258
1.0,1,2,short,478,45.60669456066946,-4914.22,0.7745243153214743,-10.280794979079499,-0.0988251590010795,-5591.379999999977,-1.827062462721338
1.0,1,3,both,523,48.75717017208413,-3262.020000000001,0.8592945272721941,-6.23713193116635,-0.035766894925982215,-4208.579999999991,-1.086997020854334
1.0,1,3,long,465,45.806451612903224,-3385.1000000000013,0.8365395108788555,-7.279784946236562,-0.09394525651853451,-5154.999999999966,-1.2715261945542504
1.0,1,3,short,478,46.44351464435147,-4580.72,0.7904465988149741,-9.583096234309624,-0.08215034067105992,-5433.839999999982,-1.6847962440329545
1.0,1,4,both,523,48.75717017208413,-3162.020000000001,0.8648410203626274,-6.045927342256216,-0.03555843221511881,-4144.899999999991,-1.0431876539651757
1.0,1,4,long,465,46.236559139784944,-3053.1000000000013,0.8529937164455788,-6.5658064516129055,-0.08532706536468906,-4830.999999999971,-1.1351365674492275
1.0,1,4,short,477,46.331236897274636,-4628.4800000000005,0.7901386265389975,-9.703312368972748,-0.08414594042329496,-5489.599999999981,-1.6913577733308016
