rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,min_net,sum_net,n_pos
1.0,1,0,both,-375.9400000000004,0.9547834914159116,256,-3018.580000000001,0.7867493507631184,267,-3018.580000000001,-3394.5200000000013,0
1.0,1,0,long,-2556.4400000000005,0.701417439079085,231,-1546.3800000000008,0.8707712209870787,237,-2556.4400000000005,-4102.8200000000015,0
1.0,1,0,short,-864.4000000000005,0.8895899859496744,235,-3890.5600000000004,0.7103164616339971,244,-3890.5600000000004,-4754.960000000001,0
1.0,1,1,both,-38.94000000000028,0.995289990928334,256,-2972.080000000001,0.7916280478485406,267,-2972.080000000001,-3011.0200000000013,0
1.0,1,1,long,-2282.46,0.7303159700642526,229,-1560.8800000000008,0.8708733800022836,237,-2282.46,-3843.340000000001,0
1.0,1,1,short,-816.6600000000005,0.8966483416352813,234,-3750.5600000000004,0.721735517568851,244,-3750.5600000000004,-4567.220000000001,0
1.0,1,2,both,-77.44000000000023,0.9907992880854108,256,-3524.580000000001,0.7598906196990817,267,-3524.580000000001,-3602.020000000001,0
1.0,1,2,long,-1915.4600000000003,0.7716831078922654,229,-1845.8800000000008,0.8505476497373484,237,-1915.4600000000003,-3761.340000000001,0
1.0,1,2,short,-906.6600000000004,0.8875948425489713,234,-4007.5600000000004,0.7080931465740156,244,-4007.5600000000004,-4914.220000000001,0
1.0,1,3,both,37.05999999999975,1.0043674503564908,256,-3299.080000000001,0.7755395017764541,267,-3299.080000000001,-3262.020000000001,1
1.0,1,3,long,-1741.46,0.7929790775083215,229,-1643.6400000000008,0.8663379138617777,236,-1741.46,-3385.100000000001,0
1.0,1,3,short,-647.6600000000005,0.9195231479985785,234,-3933.0600000000004,0.7152362569017774,244,-3933.0600000000004,-4580.720000000001,0
1.0,1,4,both,-16.940000000000197,0.9980394653087209,256,-3145.080000000001,0.786836668853597,267,-3145.080000000001,-3162.020000000001,0
1.0,1,4,long,-1669.96,0.8032507987973271,229,-1383.1400000000008,0.8873732364662068,236,-1669.96,-3053.100000000001,0
1.0,1,4,short,-810.6600000000003,0.9017205510806791,234,-3817.8200000000006,0.7234750210409362,243,-3817.8200000000006,-4628.480000000001,0
1.0,1,8,both,-253.94000000000017,0.9725677272717453,256,-3344.080000000001,0.7826800677418895,267,-3344.080000000001,-3598.020000000001,0
1.0,1,8,long,-1591.7200000000003,0.8206059895680714,228,-1147.1400000000012,0.9088884476390933,236,-1591.7200000000003,-2738.8600000000015,0
1.0,1,8,short,-988.4200000000001,0.8874239466424909,233,-3544.580000000001,0.7482978801968978,242,-3544.580000000001,-4533.000000000001,0
1.0,2,0,both,11.559999999999263,1.0010206171732083,256,-1475.5800000000013,0.9108595081862239,267,-1475.5800000000013,-1464.020000000002,1
1.0,2,0,long,-215.24000000000046,0.9780324756840614,226,-530.7200000000013,0.9608912364889362,228,-530.7200000000013,-745.9600000000017,0
1.0,2,0,short,-1195.9800000000005,0.8864626250735729,227,-1356.1800000000012,0.9051613092715592,232,-1356.1800000000012,-2552.1600000000017,0
1.0,2,1,both,214.05999999999926,1.0188578516532116,256,-1319.0800000000017,0.9205752436187074,267,-1319.0800000000017,-1105.0200000000025,1
1.0,2,1,long,293.7399999999997,1.0306637799105993,224,-734.7200000000013,0.9466980071241502,228,-734.7200000000013,-440.98000000000155,1
1.0,2,1,short,-980.9800000000007,0.9068909681448623,227,-1790.6800000000017,0.8776781054547144,232,-1790.6800000000017,-2771.6600000000026,0
1.0,2,2,both,218.55999999999926,1.0190437354161548,256,-1748.0800000000017,0.8969119829027974,267,-1748.0800000000017,-1529.5200000000025,1
1.0,2,2,long,292.7399999999998,1.0302124594143276,224,-743.2200000000013,0.9465236255315473,228,-743.2200000000013,-450.4800000000015,1
1.0,2,2,short,-1235.480000000001,0.8853761541430397,227,-2150.1800000000017,0.8554557200458738,232,-2150.1800000000017,-3385.6600000000026,0
1.0,2,3,both,25.059999999999263,1.0021445858193756,256,-1750.5800000000017,0.8975739505100883,267,-1750.5800000000017,-1725.5200000000025,1
1.0,2,3,long,13.739999999999782,1.0013819656500067,224,-342.2200000000013,0.9752110774365897,228,-342.2200000000013,-328.4800000000015,1
1.0,2,3,short,-1346.7400000000007,0.8765004832725347,226,-2031.6800000000017,0.8639112390046808,232,-2031.6800000000017,-3378.4200000000023,0
1.0,2,4,both,-81.44000000000074,0.9931375489994507,256,-1753.0800000000017,0.8982256188041214,267,-1753.0800000000017,-1834.5200000000025,0
1.0,2,4,long,-11.260000000000218,0.9988812005929837,224,-152.22000000000128,0.9889840296653958,228,-152.22000000000128,-163.4800000000015,0
1.0,2,4,short,-1357.2400000000007,0.8768643987835594,226,-2034.6800000000017,0.8647655989333745,232,-2034.6800000000017,-3391.9200000000023,0
1.0,2,8,both,-191.94000000000028,0.9845617049205643,256,-2176.080000000002,0.8789158919275035,267,-2176.080000000002,-2368.0200000000023,0
1.0,2,8,long,-20.52000000000072,0.9980444329236682,223,-56.22000000000139,0.9960301151986848,228,-56.22000000000139,-76.74000000000211,0
1.0,2,8,short,-1068.2400000000005,0.9056561781319883,226,-2482.940000000001,0.8415133890273295,231,-2482.940000000001,-3551.180000000001,0
1.0,3,0,both,681.059999999999,1.0517709266103445,256,832.9199999999979,1.0483869843357507,267,681.059999999999,1513.9799999999968,2
1.0,3,0,long,539.4599999999994,1.0490011027201038,221,151.73999999999864,1.0105213234651724,224,151.73999999999864,691.199999999998,2
1.0,3,0,short,-562.5200000000004,0.9528399011391799,223,-1837.2000000000012,0.8835066698962517,230,-1837.2000000000012,-2399.7200000000016,0
1.0,3,1,both,696.559999999999,1.0525496255077222,256,768.4199999999978,1.044211718216894,267,696.559999999999,1464.9799999999968,2
1.0,3,1,long,1092.9399999999991,1.101652950980684,219,-51.260000000001355,0.9964968104983604,224,-51.260000000001355,1041.6799999999978,1
1.0,3,1,short,-1028.0200000000004,0.9161355901231185,223,-2242.200000000001,0.86068169165308,230,-2242.200000000001,-3270.2200000000016,0
1.0,3,2,both,387.05999999999904,1.0285884798161167,256,347.4199999999978,1.0195997901352274,267,347.4199999999978,734.4799999999968,2
1.0,3,2,long,1095.4399999999991,1.1009000910038798,219,-59.26000000000113,0.9959805689061801,224,-59.26000000000113,1036.179999999998,1
1.0,3,2,short,-1352.0200000000007,0.8921219897134414,223,-2439.7000000000016,0.849830792658531,230,-2439.7000000000016,-3791.720000000002,0
1.0,3,3,both,239.55999999999904,1.0174329925715484,256,352.9199999999978,1.0197651170214552,267,239.55999999999904,592.4799999999968,2
1.0,3,3,long,882.9399999999994,1.0797369495247973,219,348.2399999999989,1.0237793486217484,224,348.2399999999989,1231.1799999999982,2
1.0,3,3,short,-1357.5200000000007,0.8926552778823315,223,-2444.2000000000016,0.8506180143355857,230,-2444.2000000000016,-3801.720000000002,0
1.0,3,4,both,245.55999999999904,1.0177098117953867,256,131.9199999999978,1.0072880192962352,267,131.9199999999978,377.47999999999683,2
1.0,3,4,long,614.9399999999991,1.0543454053767434,219,417.2399999999989,1.028350617035647,224,417.2399999999989,1032.179999999998,2
1.0,3,4,short,-1176.2800000000007,0.9068431789959199,222,-2675.2000000000016,0.8387784964069879,230,-2675.2000000000016,-3851.4800000000023,0
1.0,3,8,both,-167.44000000000142,0.9885191137830974,256,-676.5800000000022,0.9644693669205595,267,-676.5800000000022,-844.0200000000036,0
1.0,3,8,long,1103.4399999999991,1.0960333084425136,219,396.23999999999853,1.0262399474459363,224,396.23999999999853,1499.6799999999976,2
1.0,3,8,short,-1868.7800000000004,0.8607476844434842,222,-3349.46,0.8066388412624191,229,-3349.46,-5218.240000000001,0
1.0,5,0,both,899.5599999999991,1.056533433886375,256,418.41999999999825,1.020347248292644,267,418.41999999999825,1317.9799999999973,2
1.0,5,0,long,385.1399999999986,1.029847854525615,214,757.1799999999985,1.0468234994378809,218,385.1399999999986,1142.319999999997,2
