rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,net3,pf3,tr3,net4,pf4,tr4,min_net,sum_net,n_pos
1.0,1,0,both,-7.940000000000197,0.9978585915249851,131,-429.74000000000024,0.9079415267816598,126,-74.48000000000012,0.9840296420821505,127,-2882.3600000000006,0.6943317390797161,139,-2882.3600000000006,-3394.5200000000013,0
1.0,1,0,long,-715.8600000000001,0.7976138644652399,114,-1902.3200000000006,0.6260105061180838,118,-820.9200000000004,0.8077884858531651,108,-663.7200000000005,0.9130523635106033,128,-1902.3200000000006,-4102.8200000000015,0
1.0,1,0,short,-48.56000000000015,0.9854757760111031,119,-877.5800000000002,0.8070133000246298,117,-1174.8200000000002,0.7597554242244535,118,-2654.0,0.6869744083297362,125,-2654.0,-4754.960000000001,0
1.0,1,1,both,-48.44000000000017,0.9872302509134433,131,-53.24000000000024,0.9882651149463291,126,-5.980000000000118,0.9987251913278903,127,-2903.3600000000006,0.6946948904802465,139,-2903.3600000000006,-3011.020000000001,0
1.0,1,1,long,-696.6200000000001,0.8044773019428211,113,-1648.5800000000002,0.6678486664222076,117,-822.9200000000002,0.8096273608039457,108,-675.2200000000005,0.9123382355995929,128,-1648.5800000000002,-3843.340000000001,0
1.0,1,1,short,-55.060000000000166,0.9838338402997175,119,-824.3400000000001,0.8191689590270744,116,-981.8200000000002,0.797505269540612,118,-2706.0,0.6841382787987451,125,-2706.0,-4567.22,0
1.0,1,2,both,-17.44000000000011,0.9954622802041977,131,-123.74000000000025,0.9733154487464256,126,-536.4800000000001,0.8932509819683941,127,-2924.3600000000006,0.6950519828566065,139,-2924.3600000000006,-3602.0200000000013,0
1.0,1,2,long,-517.1200000000001,0.85340824692002,113,-1462.0800000000002,0.7031671268474907,117,-1095.42,0.7574175203624719,108,-686.7200000000005,0.9116367884954888,128,-1462.0800000000002,-3761.340000000001,0
1.0,1,2,short,-60.06000000000014,0.9826810616284306,119,-910.3400000000001,0.8047260106481106,116,-1261.3200000000002,0.7502020057987547,118,-2682.5,0.6886534042108686,125,-2682.5,-4914.22,0
1.0,1,3,both,92.0599999999998,1.0238986526829525,131,-119.74000000000024,0.9745133180364995,126,-554.4800000000001,0.8912383388386309,127,-2679.8600000000006,0.7189437606450371,139,-2679.8600000000006,-3262.0200000000013,1
1.0,1,3,long,-330.12,0.9053185875226583,113,-1476.0800000000002,0.704198312659065,117,-1015.4200000000002,0.7756681881045064,108,-563.4800000000012,0.9268760495313932,127,-1476.0800000000002,-3385.1000000000013,0
1.0,1,3,short,141.93999999999977,1.0414738195418425,119,-854.3400000000001,0.8178426138350409,116,-1170.8200000000004,0.7686638530601926,118,-2697.5,0.6894356305694354,125,-2697.5,-4580.720000000001,1
1.0,1,4,both,93.0599999999998,1.023757371524853,131,-175.74000000000018,0.9633044763778048,126,-380.48000000000025,0.9250229573840014,127,-2698.8600000000006,0.7192769680755903,139,-2698.8600000000006,-3162.0200000000013,1
1.0,1,4,long,-339.12,0.9044096920769867,113,-1396.5800000000002,0.7210109751371394,117,-921.9200000000002,0.7965943138544089,108,-395.48000000000116,0.9485225015554671,127,-1396.5800000000002,-3053.1000000000013,0
1.0,1,4,short,140.93999999999983,1.0404720882150247,119,-1017.3400000000001,0.7894516811331455,116,-1039.5800000000002,0.7914533549453551,117,-2712.5,0.6902053495968389,125,-2712.5,-4628.4800000000005,1
1.0,1,8,both,12.559999999999924,1.002988099939572,131,-336.2400000000002,0.9343714500973966,126,-202.98000000000025,0.9612476803592294,127,-3071.3600000000006,0.6953076327850638,139,-3071.3600000000006,-3598.0200000000013,1
1.0,1,8,long,-191.38000000000002,0.9478230049892312,112,-1470.0800000000002,0.7212907139877907,117,-895.4200000000003,0.8093195795499072,108,-181.98000000000116,0.9767432944315795,127,-1470.0800000000002,-2738.8600000000015,0
1.0,1,8,short,-9.559999999999953,0.9974826471176842,119,-1048.6000000000001,0.7924435682446185,115,-373.0800000000002,0.9233317441267859,117,-3101.76,0.6608816011300449,124,-3101.76,-4533.0,0
1.0,2,0,both,506.56,1.1061832633913415,131,-563.7400000000004,0.9149020318207892,126,322.51999999999964,1.0557688184314458,127,-1729.360000000001,0.8384005262803789,139,-1729.360000000001,-1464.0200000000018,2
1.0,2,0,long,-111.38000000000005,0.9738875603694849,112,-172.6000000000004,0.969186494901311,115,-477.9400000000003,0.9055073586979734,106,15.959999999999013,1.001890175587364,121,-477.9400000000003,-745.9600000000017,1
1.0,2,0,short,-563.8400000000001,0.8783154423539267,116,-700.8800000000003,0.8825784228972747,112,265.85999999999973,1.0530076762037683,111,-1553.3000000000009,0.8314492134007262,120,-1553.3000000000009,-2552.1600000000017,1
1.0,2,1,both,514.5600000000002,1.106487421669992,131,-370.2400000000005,0.9438081853309981,126,189.5199999999994,1.032043825240092,127,-1438.860000000001,0.8645623309217623,139,-1438.860000000001,-1105.020000000002,2
1.0,2,1,long,-157.14000000000001,0.9636536059582738,111,381.13999999999976,1.0715659103370063,114,-679.4400000000003,0.8696317900109372,106,14.459999999999013,1.00170064426897,121,-679.4400000000003,-440.9800000000015,2
1.0,2,1,short,-487.34000000000026,0.8952267929087715,116,-563.3800000000003,0.9053807577197869,112,26.859999999999644,1.0051708736966936,111,-1747.800000000001,0.8135652159072241,120,-1747.800000000001,-2771.660000000002,1
1.0,2,2,both,520.0600000000002,1.106251353526934,131,-372.24000000000063,0.9440481236641084,126,195.0199999999994,1.0326426084627747,127,-1872.360000000001,0.8284130710904122,139,-1872.360000000001,-1529.520000000002,2
1.0,2,2,long,-165.13999999999996,0.9623174516246806,111,387.13999999999976,1.0719896164173668,114,-685.4400000000003,0.8698292724614014,106,12.959999999999013,1.0015137251420871,121,-685.4400000000003,-450.4800000000015,2
1.0,2,2,short,-495.34000000000026,0.8949076883255757,116,-810.8800000000005,0.8678470384229261,112,4.359999999999587,1.0008310333785702,111,-2083.800000000001,0.7819918898221033,120,-2083.800000000001,-3385.660000000002,1
1.0,2,3,both,648.06,1.1328568968486312,131,-694.7400000000005,0.8990071375615997,126,200.5199999999994,1.0332294842900704,127,-1879.360000000001,0.8289161057512867,139,-1879.360000000001,-1725.5200000000023,2
1.0,2,3,long,-294.64000000000004,0.9345846265879836,111,236.63999999999976,1.0429476802009454,114,-691.4400000000003,0.8700227456435515,106,420.959999999999,1.05003137657596,121,-691.4400000000003,-328.4800000000015,2
1.0,2,3,short,-390.84000000000015,0.9168627184044724,116,-1027.6400000000003,0.8362436299084365,111,133.35999999999953,1.0254747869141811,111,-2093.300000000001,0.7824546161232794,120,-2093.300000000001,-3378.420000000002,1
1.0,2,4,both,544.56,1.1089965813471256,131,-698.7400000000005,0.899376449071874,126,206.0199999999994,1.0338048044106065,127,-1886.360000000001,0.8294124988017746,139,-1886.360000000001,-1834.5200000000023,2
1.0,2,4,long,-324.64000000000004,0.9290270958038017,111,240.63999999999965,1.0432575463422353,114,-500.9400000000003,0.9050073386353554,106,421.459999999999,1.049747872973305,121,-500.9400000000003,-163.48000000000172,2
1.0,2,4,short,-398.34000000000026,0.9163527321750309,116,-1031.6400000000003,0.8370988422402305,111,140.85999999999953,1.0266453292171729,111,-2102.800000000001,0.7829112277470587,120,-2102.800000000001,-3391.920000000002,1
1.0,2,8,both,634.0600000000002,1.121761807281205,131,-902.7400000000004,0.8763722117533634,126,176.51999999999921,1.0277453812710817,127,-2275.8600000000015,0.8026612883646238,139,-2275.8600000000015,-2368.0200000000023,2
