rr,or_minutes,offset_ticks,direction,trades,win_rate,net,profit_factor,expectancy,avg_R,max_drawdown,sharpe
1.0,1,0,both,315,49.84126984126984,-684.1000000000006,0.9348316062422959,-2.1717460317460335,-0.016687789366453206,-1602.5200000000002,-0.4925324719671452
1.0,1,0,long,281,41.637010676156585,-3329.44,0.6873283773275884,-11.848540925266905,-0.17464764511439582,-3370.7599999999834,-2.739171902396579
1.0,1,0,short,290,45.86206896551724,-1726.6000000000001,0.8294662152285308,-5.953793103448277,-0.0961035530383263,-2333.3400000000015,-1.3718801488199313
1.0,1,1,both,315,50.79365079365079,-386.1000000000006,0.963227520786308,-1.2257142857142875,0.0023473400428085153,-1421.0200000000004,-0.2743789170077116
1.0,1,1,long,279,42.65232974910394,-3161.96,0.7024849688085134,-11.333189964157706,-0.15454008438461725,-3204.2799999999856,-2.5840342816250494
1.0,1,1,short,289,46.02076124567474,-1725.8600000000004,0.8315977846384428,-5.971833910034603,-0.0926374740497614,-2255.6000000000013,-1.3561774789247327
1.0,1,2,both,315,50.15873015873016,-559.1000000000006,0.9479794709183751,-1.7749206349206368,-0.009698984879009262,-1487.5800000000006,-0.39217179494224896
1.0,1,2,long,279,43.01075268817204,-2939.96,0.7240293021037889,-10.537491039426524,-0.14707378405391083,-2983.279999999993,-2.3676496734634203
1.0,1,2,short,289,45.674740484429066,-1824.8600000000004,0.8252833021212712,-6.3143944636678215,-0.09910440081476897,-2359.6000000000013,-1.4155007206511434
1.0,1,3,both,315,50.476190476190474,-466.60000000000036,0.9570228812169913,-1.4812698412698424,-0.003193707318417458,-1502.5800000000004,-0.323117228482476
1.0,1,3,long,279,44.086021505376344,-2688.96,0.7477509254273477,-9.637849462365592,-0.125773818978051,-2753.259999999994,-2.1344080718091334
1.0,1,3,short,289,46.36678200692042,-1684.3600000000004,0.8398166463785758,-5.828235294117648,-0.08525298220932158,-2394.060000000001,-1.2890028672661824
1.0,1,4,both,315,50.476190476190474,-350.60000000000025,0.968000554924775,-1.113015873015874,-0.0029267918442591663,-1601.9,-0.23973249978637728
1.0,1,4,long,279,44.44444444444444,-2526.96,0.7641705241152755,-9.057204301075268,-0.11853997345055758,-2578.4599999999955,-1.9785726587184267
1.0,1,4,short,288,46.18055555555556,-1719.1200000000001,0.8379671432745508,-5.969166666666667,-0.08865793512740199,-2435.820000000001,-1.3091677016111702
1.0,1,8,both,315,50.15873015873016,-432.0999999999998,0.9627858667250012,-1.371746031746031,-0.005680039099857335,-1827.4,-0.2812977355434868
1.0,1,8,long,278,44.60431654676259,-2295.72,0.7929257851469271,-8.25798561151079,-0.10880199317276662,-2513.4799999999987,-1.716100121041353
1.0,1,8,short,287,47.386759581881535,-1190.8799999999999,0.8906269516469147,-4.149407665505226,-0.06371437906450524,-1919.9800000000002,-0.8634908533617524
1.0,2,0,both,315,49.84126984126984,-416.10000000000025,0.9707145481341345,-1.3209523809523818,-0.010414448235224841,-1738.0600000000004,-0.2153112437992737
