rr,or_minutes,offset_ticks,direction,trades,win_rate,net,profit_factor,expectancy,avg_R,max_drawdown,sharpe
1.0,3,0,both,120,56.666666666666664,1125.6999999999996,1.2577753962692755,9.38083333333333,0.12146314077289082,-733.3800000000001,1.6580246319538354
1.0,3,0,long,101,50.495049504950494,-65.24000000000034,0.9836757162517203,-0.6459405940594093,-0.00669832396526587,-942.2600000000001,-0.11923344987697419
1.0,3,0,short,110,56.36363636363636,1218.0999999999997,1.3176254621879417,11.07363636363636,0.115315079269674,-502.24000000000024,1.999823488484376
1.0,3,1,both,120,60.0,1996.6999999999996,1.5012401092501102,16.639166666666664,0.18783207798701468,-743.3800000000001,2.9504911015790407
1.0,3,1,long,101,53.46534653465347,540.7599999999994,1.1446934669064137,5.354059405940588,0.05236827928669374,-952.2600000000001,0.9813725417111041
1.0,3,1,short,110,57.27272727272727,1375.5999999999995,1.3611181115591404,12.50545454545454,0.13350257582407213,-506.24000000000024,2.240381984021393
1.0,3,2,both,120,60.0,2020.6999999999996,1.501225344287018,16.839166666666664,0.18801552095385768,-753.3799999999999,2.956278897110301
1.0,3,2,long,101,53.46534653465347,546.2599999999994,1.1443497838426337,5.408514851485143,0.052483462522218194,-962.2600000000001,0.9810347438077004
1.0,3,2,short,110,57.27272727272727,1391.5999999999995,1.3608659122262914,12.650909090909085,0.13369194985874766,-510.24000000000024,2.2433660726414146
1.0,3,4,both,120,60.83333333333333,2138.2,1.5226876048088631,17.81833333333333,0.20475604993681037,-773.3799999999992,3.0711580634860125
1.0,3,4,long,101,52.475247524752476,371.7599999999996,1.0935711373212318,3.680792079207917,0.03303152316667129,-982.2600000000002,0.6529914452282647
1.0,3,4,short,110,60.0,1757.0999999999995,1.4651415199229134,15.97363636363636,0.18786369675826747,-518.2400000000002,2.7927915445138756
1.0,5,0,both,120,59.166666666666664,1991.699999999999,1.3506970978613413,16.59749999999999,0.17383502511806453,-938.7399999999991,2.201047064733896
1.0,5,0,long,99,51.515151515151516,-201.26000000000028,0.962090932036421,-2.0329292929292957,0.014700029167016683,-1103.2800000000002,-0.2828150951585619
1.0,5,0,short,108,60.18518518518518,2149.58,1.452274649576462,19.903518518518517,0.18176573675486885,-805.2199999999948,2.7264828545475552
1.0,5,1,both,120,60.0,2117.199999999999,1.3731064477700314,17.643333333333324,0.1904098363047589,-1125.2399999999977,2.3247145864520093
1.0,5,1,long,99,51.515151515151516,-205.76000000000022,0.9616120835370017,-2.0783838383838407,0.014766109971739366,-1077.3600000000008,-0.28681862579065515
1.0,5,1,short,107,59.813084112149525,2061.3199999999997,1.4282087822145406,19.26467289719626,0.17430071628287253,-989.719999999995,2.6074268943084165
1.0,5,2,both,120,60.0,2141.199999999999,1.374170819848598,17.843333333333323,0.1905282535719564,-1131.2399999999973,2.3334360612504454
1.0,5,2,long,99,51.515151515151516,-204.26000000000022,0.9622301692671255,-2.0632323232323255,0.014838439840107997,-1081.8600000000008,-0.28245805640530175
1.0,5,2,short,107,59.813084112149525,2079.3199999999997,1.4281237517552636,19.43289719626168,0.17432638343855786,-993.719999999995,2.610174422061459
1.0,5,4,both,120,60.0,2278.199999999999,1.3945604622083052,18.984999999999992,0.19084892358140457,-1143.2399999999964,2.4484687623125505
1.0,5,4,long,98,51.02040816326531,-212.02000000000038,0.9611650841099583,-2.163469387755106,0.005187937538174974,-987.1200000000007,-0.2911427720919699
1.0,5,4,short,107,59.813084112149525,2115.3199999999993,1.4279581291651324,19.769345794392517,0.17437133751898892,-1001.7199999999948,2.615460112754193
1.0,10,0,both,120,48.333333333333336,-906.8000000000011,0.9125965794303164,-7.5566666666666755,-0.054168306091788083,-2753.5,-0.681884091773228
1.0,10,0,long,95,48.421052631578945,-64.30000000000072,0.9914724425948178,-0.6768421052631655,-0.04208197695288499,-865.4200000000001,-0.06336540169946758
1.0,10,0,short,104,56.730769230769226,1279.5399999999993,1.1702466803267784,12.303269230769224,0.09897472254260252,-1135.68,1.1623765369779948
1.0,10,1,both,120,49.166666666666664,-419.300000000001,0.9585677668490753,-3.4941666666666746,-0.03276772252029492,-2408.0,-0.31534904300436895
1.0,10,1,long,94,48.93617021276596,161.9399999999993,1.022011629708768,1.7227659574468008,-0.031920051993548006,-871.4200000000001,0.16113993375184477
1.0,10,1,short,103,58.252427184466015,1783.779999999999,1.247152682713251,17.318252427184458,0.12882070646265692,-1142.6799999999998,1.6336433493702573
1.0,10,2,both,120,49.166666666666664,-425.300000000001,0.9582246302786466,-3.544166666666675,-0.032804694984934456,-2423.0,-0.3181958354194567
1.0,10,2,long,94,48.93617021276596,157.9399999999993,1.021331654965816,1.6802127659574393,-0.0319487589877577,-877.4200000000001,0.1563022553957775
1.0,10,2,short,103,58.252427184466015,1792.279999999999,1.246876644324515,17.400776699029116,0.12867278015252484,-1149.6799999999998,1.632909511976887
1.0,10,4,both,120,50.0,-267.80000000000103,0.9737833948447856,-2.2316666666666753,-0.016358337903221033,-2453.0,-0.19828324080262025
1.0,10,4,long,94,51.06382978723404,563.4399999999991,1.0781249133393604,5.9940425531914805,0.0013880291862014738,-889.4200000000001,0.5552042066921693
1.0,10,4,short,103,58.252427184466015,1809.279999999999,1.2463341511432549,17.565825242718436,0.12837920759303348,-1163.6799999999996,1.631434170176449
1.0,15,0,both,120,54.166666666666664,1987.199999999999,1.1948674701158106,16.55999999999999,0.07244676558718993,-2044.499999999997,1.34180872766665
1.0,15,0,long,89,57.30337078651685,2645.1399999999994,1.4043864047747177,29.720674157303364,0.10973502023336489,-947.7799999999952,2.5468162378100043
1.0,15,0,short,97,58.76288659793815,2089.2199999999993,1.271941790539661,21.53835051546391,0.15475354361576554,-1736.3799999999997,1.7978381414531308
1.0,15,1,both,120,56.666666666666664,2931.199999999999,1.2999136438607335,24.42666666666666,0.12201244377875312,-2051.059999999996,1.9794275404183779
1.0,15,1,long,89,57.30337078651685,2741.6399999999994,1.4228563672763057,30.80494382022471,0.11515418507174592,-954.7799999999952,2.641325534346417
1.0,15,1,short,97,59.79381443298969,2318.7199999999993,1.3047595013905757,23.90432989690721,0.17498163382789994,-1743.8799999999997,1.9894081514342996
1.0,15,2,both,120,56.666666666666664,2938.699999999999,1.2991506065060447,24.48916666666666,0.12183131040913155,-2062.059999999996,1.975573313763915
1.0,15,2,long,89,57.30337078651685,2744.6399999999994,1.4209815909516201,30.838651685393252,0.11488113182049563,-961.7799999999952,2.6319595874822417
1.0,15,2,short,97,58.76288659793815,1959.2199999999991,1.2501366085335648,20.1981443298969,0.15419763434756475,-1780.5999999999997,1.6691773151465057
1.0,15,4,both,120,57.49999999999999,3315.699999999999,1.3443008689295386,27.630833333333324,0.13180333116264506,-2084.059999999996,2.2331033658384634
1.0,15,4,long,89,58.42696629213483,2905.6399999999994,1.4532711009331742,32.64764044943819,0.12376911432531452,-975.7799999999952,2.7862781995004164
1.0,15,4,short,96,59.375,2268.459999999999,1.2978404382145803,23.62979166666666,0.16572196677354764,-1504.3599999999997,1.9522684007684468
1.0,30,0,both,119,54.621848739495796,1710.439999999999,1.1322492202395957,14.373445378151251,0.05410938039463208,-1394.04,0.909117333231635
1.0,30,0,long,79,54.43037974683544,2224.04,1.3190811088442989,28.152405063291138,0.09068322044705793,-1080.14,1.9727809215015912
1.0,30,0,short,85,56.470588235294116,560.5999999999992,1.0629577803283328,6.595294117647049,0.04040715745429733,-2870.7200000000003,0.43620641001968835
1.0,30,1,both,119,54.621848739495796,1697.439999999999,1.1307587898433613,14.26420168067226,0.05361884759742048,-1405.54,0.899468954114027
1.0,30,1,long,79,54.43037974683544,2216.54,1.3166648570497912,28.05746835443038,0.09005590353106527,-1085.64,1.959500485419669
1.0,30,1,short,85,56.470588235294116,544.5999999999992,1.0609384930758834,6.407058823529403,0.03967220485326189,-2890.2200000000003,0.422573010014403
1.0,30,2,both,119,54.621848739495796,1684.439999999999,1.1292793408168873,14.154957983193269,0.05313142582078319,-1417.04,0.889876057289854
1.0,30,2,long,79,54.43037974683544,2209.04,1.3142688863787038,27.96253164556962,0.08943324531057176,-1091.14,1.9463034105747081
